,area,begin-area,country,disambiguation,end-area,gender,id,ipi,ipi-list,isni-list,life-span,name,sort-name,type
35,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'San Diego', 'id': '82f3a697-ba65-404d-a1ed-360147af7d10', 'name': 'San Diego'}",US,,,,8c32bb01-58a3-453b-8050-8c0620edb0e5,,,['0000000123246036'],{'begin': '1990'},Stone Temple Pilots,Stone Temple Pilots,Group
36,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Palm Desert', 'id': 'c5293e2f-3756-4e4d-aa61-a67879d70c61', 'name': 'Palm Desert'}",US,,,,ea0f2a37-7007-4217-a812-396227f5013a,,,,"{'ended': 'true', 'begin': '1987', 'end': '1996'}",Kyuss,Kyuss,Group
37,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}","{'sort-name': 'London', 'id': 'f03d09b3-39dc-4083-afd6-159e3f0d462f', 'name': 'London'}",GB,,,,4cbbf0d6-6c78-4e3d-ab25-91b13603cf7c,,,['0000000114816674'],"{'ended': 'true', 'begin': '1998', 'end': '2008'}",Lemon Jelly,Lemon Jelly,Group
38,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'San Francisco', 'id': '83f22bb6-4631-443c-bace-9fae8540362a', 'name': 'San Francisco'}",US,US lo-fi indie band,,,e9aca1a3-836a-4e5e-b8d4-56d20c60af5f,,,,"{'ended': 'true', 'begin': '1996', 'end': '2004'}",Beulah,Beulah,Group
39,"{'sort-name': 'Canada', 'id': '71bbafaa-e825-3e15-8ca9-017dcad1748b', 'name': 'Canada', 'iso-3166-1-code-list': ['CA']}","{'sort-name': 'Vancouver', 'id': '6ccc62d1-bdd8-4f08-8fae-bfaa5310e5ef', 'name': 'Vancouver'}",CA,,,,b847e9d2-c931-4daf-900c-42c7b2c42e16,,,['0000000121590263'],{'begin': '1986'},Front Line Assembly,Front Line Assembly,Group
40,"{'sort-name': 'Spain', 'id': '471c46a7-afc5-31c4-923c-d0444f5053a4', 'name': 'Spain', 'iso-3166-1-code-list': ['ES']}",,ES,,,,7a519099-d4c8-46c8-805b-214dab0e58a2,,,,{'begin': '1997'},Amaral,Amaral,Group
41,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Detroit', 'id': 'b03ff310-d8e2-45cf-9455-769f76641eb2', 'name': 'Detroit'}",US,in Australia known as The Saboteurs,,,be407b02-f3e6-4ed5-9489-f8e5f0ab36dc,,,['0000000118854862'],{'begin': '2005'},The Raconteurs,"Raconteurs, The",Group
42,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Austin', 'id': '58d2816b-daf9-4fc5-962c-06967f14a5e5', 'name': 'Austin'}",US,"Austin, TX rock band",,,84eac621-1c5a-49a1-9500-555099c6e184,,,,{'begin': '1994'},Spoon,Spoon,Group
43,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Detroit', 'id': 'b03ff310-d8e2-45cf-9455-769f76641eb2', 'name': 'Detroit'}",US,"Detroit, USA rock",,,54b0584e-4e5e-4976-80d4-eea7a82a7213,,,,{'begin': '2002-05'},Electric Six,Electric Six,Group
44,"{'sort-name': 'Poland', 'id': 'dd7f80c8-f017-3d01-8608-2a8c9c32b954', 'name': 'Poland', 'iso-3166-1-code-list': ['PL']}",,PL,,,,4f615cfd-6365-45ce-8b2c-b461c1b3c164,,,,{'begin': '1999'},Lao Che,Lao Che,Group
45,"{'sort-name': 'Germany', 'id': '85752fda-13c4-31a3-bee5-0e5cb1f51dad', 'name': 'Germany', 'iso-3166-1-code-list': ['DE']}",,DE,,,,81b96954-da0d-4d8f-a7fa-cbc77ae88a34,,,,{'begin': '1999'},Mo’ Horizons,Mo’ Horizons,Group
